etiqueta,us,europe_dev,emerging,korea,panel
A1 RS multi-ventana,0.0386428950982414,0.0346531803093698,0.0586108765130355,0.0338257433476381,mom
A10 proximidad de resultados,,,,,mom
A2 distancia a máximos,-0.0293565055537342,0.0334161409872382,0.0293725698940165,-0.0240279056709154,mom
A3 RS vs sector,0.0618890039021305,-0.0140423278662431,0.0791603677299974,0.006844879997863,mom
A4 momentum del sector,-0.059103160852109,0.0873930010849421,-0.017408583258362,0.0421136329795263,mom
A5 consistencia (FITP),-0.0194435435200203,0.0630016179235345,-0.0343370778465121,0.1196911474194786,mom
A6 momentum / ATR%,0.0362872231339744,0.0502205065953669,0.0790980545638532,0.0395407461274229,mom
A7 acumulación (OBV),-0.0131468059275899,-0.0075320237335598,0.0278699004014808,-0.0200509911786202,mom
A8 reacción a resultados,-0.0154982959729558,-0.0526800992593236,0.0458848544435593,0.0390945317086243,mom
A9 precio vs MM20/50,-0.0152871077699998,-0.0077067368261396,0.034230486482034,0.0031169201174592,mom
B1 crecimiento revenue Y/Y,0.0370351659279502,-0.0187267334934449,-0.007830990675708,0.08089609682143,qua
B10 valoración EV,0.0209205685073776,0.0666560002026117,-0.0180265125577481,0.1053393827099441,qua
B2 tendencia y duración,0.0053589489215334,0.0256174268162292,-0.0007323707059494,-0.0197247778999254,qua
B3 sorpresa 4T,0.0206876696406929,-0.0045208478674991,,,qua
B4 calidad de caja,-0.0071688745623289,0.0053324415587553,0.0035610417716012,-0.0537364151801582,qua
B5 ROIC,4.550875065036882e-05,-0.0369220191350611,0.0188689438755372,0.129173426146003,qua
B6 expansión de márgenes,0.0427374919483271,0.022694001916417,0.0255187032153245,-0.0083182409306649,qua
B7 dilución/SBC,-0.005488049752387,5.870751872111962e-05,,,qua
B9 net debt/EBITDA,-0.0088075428678756,0.0267050902335357,0.0156542802068433,-0.0459513209462721,qua
