,top 3,top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,SPY top 10,SPY top 10 __aporte
2024-01-16,300.0,300.0,300.0,300.0,500.0,500.0,500.0,500.0,1000.0,1000.0,1000.0,1000.0
2024-01-17,302.26008539433303,0.0,300.1675209127304,0.0,505.87275410459426,0.0,500.27920152121743,0.0,1007.1460904075878,0.0,1000.5584030424349,0.0
2024-01-18,304.6201321752211,0.0,302.64253617842496,0.0,510.0920599789709,0.0,504.40422696404175,0.0,1016.2971374745316,0.0,1008.8084539280835,0.0
2024-01-19,306.2986378704608,0.0,306.6021050303385,0.0,514.3631553834796,0.0,511.0035083838976,0.0,1025.675518755284,0.0,1022.0070167677952,0.0
2024-01-22,506.9632979361578,200.0,506.87930459339134,200.0,717.5272843352976,200.0,711.4655076556522,200.0,1527.2287258433553,500.0,1522.9310153113042,500.0
2024-01-23,504.43566211971984,0.0,508.9223883665542,0.0,703.1606658499849,0.0,714.3332192009526,0.0,1498.729237424995,0.0,1529.0695094593834,0.0
2024-01-24,503.3596845759017,0.0,510.5263887487192,0.0,704.2054197201375,0.0,716.5846248824145,0.0,1500.1673046565006,0.0,1533.888767038917,0.0
2024-01-25,505.64181201449514,0.0,512.1773348275059,0.0,703.7124437256787,0.0,718.9019244434969,0.0,1504.8677089444882,0.0,1538.8490740887535,0.0
2024-01-26,507.2613928182433,0.0,513.1631394001325,0.0,706.3051737085326,0.0,720.2856186372769,0.0,1504.9994312855083,0.0,1541.8109475467618,0.0
2024-01-29,611.0815491892656,100.0,617.3952811620607,100.0,1009.1701862260525,300.0,1026.2259339348923,300.0,1908.7328681262857,400.0,1954.5265188711912,400.0
2024-01-30,613.833032280724,0.0,617.433015749193,0.0,1016.0148972301342,0.0,1026.2886558459647,0.0,1897.5277685872368,0.0,1954.6459775931467,0.0
2024-01-31,605.3165033551094,0.0,606.8580052961183,0.0,998.1901395533155,0.0,1008.711019103825,0.0,1894.645324471407,0.0,1921.1680113719422,0.0
2024-02-01,611.6948814135748,0.0,617.0471998257709,0.0,1014.4958780025726,0.0,1025.6473579312876,0.0,1918.5435334593612,0.0,1953.4245762045387,0.0
2024-02-02,619.0302831781039,0.0,619.4875917779713,0.0,1020.1469764752815,0.0,1029.7037438265606,0.0,1921.4896793368387,0.0,1961.1502763071337,0.0
2024-02-05,808.837888614886,200.0,822.6487555518636,200.0,1413.1432982168576,400.0,1434.9581867177953,400.0,2223.413444350763,300.0,2271.1577684520985,300.0
