,top 3,top 3 __aporte,EEM top 3,EEM top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,EEM top 5,EEM top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,EEM top 10,EEM top 10 __aporte,SPY top 10,SPY top 10 __aporte
2024-01-15,300.0,300.0,300.0,300.0,300.0,300.0,500.0,500.0,500.0,500.0,499.9999999999999,500.0,1000.0,1000.0,1000.0000000000002,1000.0,999.9999999999998,1000.0
2024-01-16,299.5163341185782,0.0,292.72961032382904,0.0,298.89866721380787,0.0,498.0848909208795,0.0,487.88268387304834,0.0,498.16444535634645,0.0,998.169301720508,0.0,975.7653677460969,0.0,996.3288907126929,0.0
2024-01-17,296.51895846617407,0.0,290.1412026753172,0.0,299.0655731389598,0.0,491.59004986254854,0.0,483.5686711255287,0.0,498.4426218982662,0.0,994.3474981701819,0.0,967.1373422510576,0.0,996.8852437965324,0.0
2024-01-18,298.07192492850623,0.0,292.34051629137656,0.0,301.5315023531262,0.0,493.0034771335319,0.0,487.23419381896093,0.0,502.5525039218771,0.0,994.2102777708808,0.0,974.4683876379221,0.0,1005.1050078437542,0.0
2024-01-19,302.6275259396293,0.0,295.5986739124908,0.0,305.47653519505377,0.0,497.5331471567248,0.0,492.6644565208179,0.0,509.1275586584229,0.0,999.6527686611038,0.0,985.328913041636,0.0,1018.2551173168458,0.0
2024-01-22,400.6770563966576,100.0,392.62691266948895,100.0,405.7527171282162,100.0,696.354663584835,200.0,687.7115211158148,200.0,709.5878618803603,200.0,1398.12075095634,400.0,1375.4230422316298,400.0,1419.1757237607205,400.0
2024-01-23,393.6793001233245,0.0,396.4720683467416,0.0,407.38818889589146,0.0,692.8392528071573,0.0,694.4465608555806,0.0,712.4480051789785,0.0,1386.3965329608468,0.0,1388.8931217111615,0.0,1424.896010357957,0.0
2024-01-24,399.5527802646981,0.0,401.7385188021261,0.0,408.67217801803616,0.0,698.1481795170656,0.0,703.6710906488358,0.0,714.6934691214232,0.0,1403.2580232979587,0.0,1407.3421812976721,0.0,1429.3869382428463,0.0
2024-01-25,395.9209999218755,0.0,401.3738283105656,0.0,409.99374678446515,0.0,697.6417918175677,0.0,703.0323115825149,0.0,717.0046530413617,0.0,1415.1317570835758,0.0,1406.0646231650298,0.0,1434.0093060827235,0.0
2024-01-26,396.9627241387302,0.0,402.968757587725,0.0,410.78287524221815,0.0,698.5553036407161,0.0,705.8259337308538,0.0,718.384695494433,0.0,1419.0507020781513,0.0,1411.6518674617078,0.0,1436.769390988866,0.0
