,top 3,top 3 __aporte,^KS11 top 3,^KS11 top 3 __aporte,SPY top 3,SPY top 3 __aporte,top 5,top 5 __aporte,^KS11 top 5,^KS11 top 5 __aporte,SPY top 5,SPY top 5 __aporte,top 10,top 10 __aporte,^KS11 top 10,^KS11 top 10 __aporte,SPY top 10,SPY top 10 __aporte
2024-01-15,300.0,300.0,300.0,300.0,300.0,300.0,500.0,500.0,500.0,500.0,499.9999999999999,500.0,1000.0,1000.0,1000.0,1000.0,999.9999999999998,1000.0
2024-01-16,294.39190790422225,0.0,295.0851793811651,0.0,298.89866721380787,0.0,492.67520770945663,0.0,491.8086323019419,0.0,498.16444535634645,0.0,985.974322914696,0.0,983.6172646038838,0.0,996.3288907126929,0.0
2024-01-17,292.0993790586208,0.0,285.6534766195554,0.0,299.0655731389598,0.0,490.1109621424183,0.0,476.089127699259,0.0,498.4426218982662,0.0,972.1257306673649,0.0,952.178255398518,0.0,996.8852437965324,0.0
2024-01-18,297.21058098253775,0.0,284.62351246100906,0.0,301.5315023531262,0.0,494.43138727036285,0.0,474.37252076834847,0.0,502.5525039218771,0.0,972.8541743767825,0.0,948.7450415366969,0.0,1005.1050078437542,0.0
2024-01-19,300.7878614789841,0.0,289.9923877709512,0.0,305.47653519505377,0.0,498.56289295407515,0.0,483.32064628491867,0.0,509.1275586584229,0.0,986.1769788574518,0.0,966.6412925698373,0.0,1018.2551173168458,0.0
2024-01-22,397.1898461193838,100.0,389.622957350897,100.0,405.7527171282162,100.0,594.2838371370547,100.0,582.7049289181617,100.0,609.5878618803603,100.0,982.3106434628573,0.0,965.4098578363235,0.0,1019.1757237607205,0.0
2024-01-23,397.38226753429984,0.0,390.69235144844754,0.0,407.38818889589146,0.0,596.5163616979601,0.0,584.3042731042319,0.0,612.0449341215003,0.0,981.6071262756535,0.0,968.0596082789222,0.0,1023.2837261280441,0.0
2024-01-24,394.9154714346108,0.0,390.65875330263555,0.0,408.67217801803616,0.0,593.6410688006558,0.0,584.2540250251653,0.0,613.9739518473348,0.0,978.4013385382965,0.0,967.9763586126488,0.0,1026.508869146493,0.0
2024-01-25,400.6010519402686,0.0,391.9245868446985,0.0,409.99374678446515,0.0,606.873117813431,0.0,586.1471563980319,0.0,615.9594278396021,0.0,987.9321322967564,0.0,971.1128477666668,0.0,1029.8284052756846,0.0
2024-01-26,402.2571388112286,0.0,392.67375878830404,0.0,410.78287524221815,0.0,610.7460992007082,0.0,587.2675887953276,0.0,617.1449852222248,0.0,995.6231718843021,0.0,972.9691500351181,0.0,1031.8105499000335,0.0
2024-01-29,507.74751743688137,100.0,496.0859182866249,100.0,514.1706699373509,100.0,623.7012581507314,0.0,592.3706817225133,0.0,622.2346825613139,0.0,1009.6374813045004,0.0,981.4238171794417,0.0,1040.3200631198147,0.0
2024-01-30,507.62771860291593,0.0,497.4559616019287,0.0,514.2020955386434,0.0,623.4757448180872,0.0,594.0066352191957,0.0,622.2727129278592,0.0,1005.3411848143759,0.0,984.1342209434723,0.0,1040.3836464500816,0.0
2024-01-31,522.86716802382,0.0,499.1716076034779,0.0,505.3951603786958,0.0,641.0344540536688,0.0,596.0552690426315,0.0,611.6148111376699,0.0,1017.8360464710737,0.0,987.5283423762767,0.0,1022.5645994348071,0.0
2024-02-01,541.6123139817162,0.0,507.3105295395582,0.0,513.8807856131042,0.0,662.9462976825567,0.0,605.7738652737315,0.0,621.8838728185117,0.0,1046.1152418520878,0.0,1003.6298512879212,0.0,1039.7335409859588,0.0
2024-02-02,550.7901283984091,0.0,520.3876761375849,0.0,515.9131593666107,0.0,673.1195143627086,0.0,621.3891406921774,0.0,624.3433935794162,0.0,1064.1459246607315,0.0,1029.5008197209238,0.0,1043.845637056683,0.0
2024-02-05,551.6638317815975,0.0,516.7233346212935,0.0,518.5457964226385,0.0,772.578032326988,100.0,717.0135912116225,100.0,727.5293358717997,100.0,1258.0468752527036,200.0,1222.2515269960093,200.0,1249.172244170683,200.0
2024-02-06,543.7659686907608,0.0,517.2157110614024,0.0,521.9013082710915,0.0,763.1286186142486,0.0,717.6968206613033,0.0,732.2371810099854,0.0,1251.6255968705175,0.0,1223.4161886543047,0.0,1257.2556425802165,0.0
2024-02-07,557.283815167242,0.0,525.7712862773529,0.0,525.5023484449548,0.0,777.8285305581965,0.0,729.568674126109,0.0,737.2895069264473,0.0,1265.9181863832787,0.0,1243.653449430787,0.0,1265.9305165573405,0.0
2024-02-08,554.6025581117811,0.0,526.6970181351829,0.0,524.829559812805,0.0,773.0392587227285,0.0,730.8532345076684,0.0,736.3455720414153,0.0,1259.5916122540618,0.0,1245.8431650890723,0.0,1264.3097746840613,0.0
2024-02-13,563.8049241455365,0.0,532.4097294608274,0.0,520.5321671435065,0.0,780.464677817203,0.0,738.7802844175736,0.0,730.3162507042371,0.0,1466.4509380105192,200.0,1459.3559477973931,200.0,1453.9573936951024,200.0
2024-02-14,565.2297815706522,0.0,524.7973305472312,0.0,528.3689118488426,0.0,779.3770473644809,0.0,728.2171975254879,0.0,741.3113483604197,0.0,1462.1116350707136,0.0,1438.4900638421668,0.0,1475.8470935562118,0.0
2024-02-15,565.2455329256175,0.0,528.1653029839822,0.0,530.8637501562091,0.0,779.3798311594566,0.0,732.8906501260877,0.0,744.8116526139454,0.0,1463.6566369578609,0.0,1447.721808372019,0.0,1482.8157092000351,0.0
2024-02-16,577.4873764539612,0.0,532.4893754454538,0.0,526.1736119156725,0.0,793.5954385911084,0.0,738.8908024639559,0.0,738.2313019818029,0.0,1484.036882297904,0.0,1459.5742605647054,0.0,1469.715152495342,0.0
2024-02-19,590.703171376973,0.0,536.685790581079,0.0,525.6349952169584,0.0,809.0544454130081,0.0,744.7138154479055,0.0,737.4756127990763,0.0,1797.0675944099953,300.0,1771.0767990209497,300.0,1768.210681146798,300.0
2024-02-20,582.2397755511083,0.0,531.954110985725,0.0,523.2036020307659,0.0,801.8883011501234,0.0,738.1480609100074,0.0,734.0643232231173,0.0,1783.2689258238065,0.0,1755.4621356577572,0.0,1760.0315921572628,0.0
2024-02-21,583.671241318057,0.0,529.0406592878301,0.0,521.849127212704,0.0,803.6445221626619,0.0,734.1053085805422,0.0,732.1639700206848,0.0,1775.7226428211904,0.0,1745.8476707366283,0.0,1755.4752044311133,0.0
2024-02-22,593.9737558747231,0.0,531.2203079760567,0.0,532.2919680887087,0.0,815.5511989211766,0.0,737.1298240781258,0.0,746.8154687688152,0.0,1786.5257999865335,0.0,1753.040567007564,0.0,1790.6044156641785,0.0
2024-02-23,589.278493753438,0.0,533.9285246923513,0.0,532.3997283936278,0.0,812.8835883091092,0.0,740.8877890536244,0.0,746.9666584681861,0.0,1779.6749913326405,0.0,1761.9777512541539,0.0,1790.9669161139116,0.0
2024-02-26,572.369292952528,0.0,528.9489758041522,0.0,530.7254432525601,0.0,792.8170406960248,0.0,733.9780871073048,0.0,744.6176054720104,0.0,1745.284178783327,0.0,1745.545112901774,0.0,1785.334701941225,0.0
2024-02-27,554.3656454992592,0.0,522.3785974683723,0.0,530.1982921993429,0.0,774.4524529904006,0.0,724.8609246907685,0.0,743.8780028018178,0.0,1720.4032848407708,0.0,1723.8626967925447,0.0,1783.561391314348,0.0
2024-02-28,566.7570745986249,0.0,528.0692962527532,0.0,529.7963210870533,0.0,790.1944530009968,0.0,732.7574296451713,0.0,743.3140299022567,0.0,1744.8257179851414,0.0,1742.6421479427636,0.0,1782.2091799495595,0.0
2024-02-29,576.5626683604924,0.0,525.7555697076788,0.0,531.9949770130128,0.0,800.7219596261073,0.0,729.5468655618183,0.0,746.398784800781,0.0,1749.5325544071936,0.0,1735.0067913240916,0.0,1789.6053520610521,0.0
2024-03-04,678.6710695460297,100.0,632.9056148336805,100.0,636.2218073202949,100.0,903.7891494574509,100.0,839.4683829186395,100.0,852.3291058399539,100.0,1852.852446698449,100.0,1858.6021226275418,100.0,1903.8242046198445,100.0
2024-03-05,677.8733369304467,0.0,627.2228085866512,0.0,629.1393481531774,0.0,900.0448694149767,0.0,831.9308669623508,0.0,842.8409273154188,0.0,1840.6299229474753,0.0,1841.9138905978966,0.0,1882.6307198391476,0.0
2024-03-06,679.4321313521742,0.0,623.1970437908129,0.0,632.2792682948586,0.0,899.9835275725065,0.0,826.5912046430943,0.0,847.047393198819,0.0,1850.548529624487,0.0,1830.091756587108,0.0,1892.0265875970986,0.0
2024-03-07,674.1821753270225,0.0,625.1201608405031,0.0,636.0045727484544,0.0,895.9900963382747,0.0,829.141973544538,0.0,852.0380825737847,0.0,1841.4943431083138,0.0,1835.7392170406779,0.0,1903.174153912384,0.0
2024-03-08,683.1451914326941,0.0,632.7410230951542,0.0,629.2655582367136,0.0,903.0821213548105,0.0,839.2500730200636,0.0,843.0100075424884,0.0,1846.308470402068,0.0,1858.1187795390588,0.0,1883.008389716443,0.0
2024-03-11,677.3260780509272,0.0,630.7945486322718,0.0,629.1374703288723,0.0,1093.9773147928222,200.0,1036.6683234961986,200.0,1042.8384116451093,200.0,2140.265700403081,300.0,2152.4027272817184,300.0,2182.6251006552043,300.0
2024-03-12,673.4805762086503,0.0,639.3228027773295,0.0,636.580502993081,0.0,1086.3856515613093,0.0,1050.6839343572562,0.0,1055.1757476446783,0.0,2133.280458534588,0.0,2181.502911359997,0.0,2208.446722612336,0.0
2024-03-13,677.254287689888,0.0,642.0380151086114,0.0,635.7910257723178,0.0,1089.7653796213924,0.0,1055.1462028113979,0.0,1053.8671351239514,0.0,2139.0311891807405,0.0,2190.7677828457636,0.0,2205.7078413984536,0.0
2024-03-14,685.3937241395132,0.0,645.1833101178889,0.0,632.9393088806737,0.0,1099.6532677404823,0.0,1060.3152831581424,0.0,1049.1402192208357,0.0,2151.9317269060834,0.0,2201.5001862420095,0.0,2195.8145682090326,0.0
2024-03-15,667.4570480169689,0.0,633.0576181528546,0.0,632.7457721182876,0.0,1080.8194557611507,0.0,1040.387525716549,0.0,1048.8194187926301,0.0,2121.3410120850194,0.0,2160.1247930774553,0.0,2195.1431438933537,0.0
2024-03-18,667.4986865146063,0.0,634.0575146261934,0.0,636.5547282007345,0.0,1084.2507532966285,0.0,1042.0307881748774,0.0,1055.1330241624844,0.0,2116.578346365281,0.0,2163.5366486505263,0.0,2208.3573038264703,0.0
2024-03-19,658.854759299856,0.0,624.3808793395981,0.0,640.6006269242491,0.0,1069.9809462879084,0.0,1026.1278903115563,0.0,1061.8393781749091,0.0,2094.721629625813,0.0,2130.5179483035768,0.0,2222.3934732252433,0.0
2024-03-20,661.8014871729458,0.0,632.5447126913843,0.0,647.1584984248796,0.0,1073.0173010130864,0.0,1039.5446001617747,0.0,1072.7094989704729,0.0,2102.29826460591,0.0,2158.3746525340725,0.0,2245.1442639811416,0.0
2024-03-21,670.948984878752,0.0,646.7281367714985,0.0,644.9097418234621,0.0,1085.9069031866404,0.0,1062.8541016380454,0.0,1068.982031011566,0.0,2130.9635820123294,0.0,2206.7714573866583,0.0,2237.342801129228,0.0
2024-03-22,671.6949192486434,0.0,647.4706661496717,0.0,648.1224104030946,0.0,1088.3096761099614,0.0,1064.0743986226764,0.0,1074.3072490389943,0.0,2138.236350144705,0.0,2209.3051226856564,0.0,2248.48830018578,0.0
2024-03-25,670.7686640175873,0.0,643.8500518202279,0.0,649.6105056216695,0.0,1083.4100275476358,0.0,1058.1241630109876,0.0,1076.7738687005196,0.0,2138.5172354757215,0.0,2196.9508305091827,0.0,2253.6508507083695,0.0
2024-03-26,679.2804015162642,0.0,648.7632228655166,0.0,646.574748849245,0.0,1093.9707151259927,0.0,1066.1986284635082,0.0,1071.7418941003718,0.0,2155.8892138191372,0.0,2213.715596121711,0.0,2243.119100107798,0.0
2024-03-27,681.8242710839872,0.0,646.7505744264874,0.0,652.3617482666583,0.0,1099.6424417461085,0.0,1062.8909764116638,0.0,1081.3342416639207,0.0,2162.761438160901,0.0,2206.848019351083,0.0,2263.195555225502,0.0
2024-03-28,679.4327340974233,0.0,642.476675059147,0.0,653.3816139030997,0.0,1091.1777523538542,0.0,1055.8671108732901,0.0,1083.0247387501013,0.0,2149.7505613713497,0.0,2192.2645822013214,0.0,2266.733707763498,0.0
2024-03-29,675.671225056295,0.0,643.7920054294996,0.0,654.526232772698,0.0,1081.6774932986045,0.0,1058.0287676803023,0.0,1084.9220228576382,0.0,2146.1193094836062,0.0,2196.7527641023257,0.0,2270.704658459159,0.0
2024-04-01,772.0030462226382,100.0,746.3345622592424,100.0,753.4932077189751,100.0,1083.5256176047453,0.0,1062.2072884550905,0.0,1083.2097131367582,0.0,2260.251034447886,100.0,2305.4284989615962,100.0,2367.1208528233537,100.0
2024-04-02,762.1314083274176,0.0,745.9728789829139,0.0,752.573036747682,0.0,1067.7673795651451,0.0,1061.6925292148574,0.0,1081.886890152237,0.0,2242.938071535306,0.0,2304.3112588188897,0.0,2364.230108922815,0.0
2024-04-03,745.7114865014146,0.0,733.922328118504,0.0,751.2074434570605,0.0,1044.3678419142454,0.0,1044.5417986908317,0.0,1079.9237352074517,0.0,2192.243551412626,0.0,2267.0870904688422,0.0,2359.940057835969,0.0
2024-04-04,756.3861069480051,0.0,741.8674299291216,0.0,737.2598400111015,0.0,1058.253240552836,0.0,1055.8495224350047,0.0,1059.8728848840908,0.0,2207.904365478739,0.0,2291.6295209920945,0.0,2316.1232554738253,0.0
2024-04-05,746.9834564677201,0.0,730.8927056227781,0.0,745.0508084284298,0.0,1048.7453333683243,0.0,1040.2299427766607,0.0,1071.073055738901,0.0,2185.1115672486562,0.0,2257.7285823734933,0.0,2340.59880962006,0.0
2024-04-08,751.9359251918429,0.0,732.8542648876863,0.0,745.9197372083632,0.0,1056.5134908099924,0.0,1043.0216968415066,0.0,1072.3222137735136,0.0,2288.9317811600713,100.0,2363.787841666045,100.0,2443.328574684334,100.0
2024-04-09,749.02075147118,0.0,725.1368463668123,0.0,744.5018598177824,0.0,1051.4905838118332,0.0,1032.038019258472,0.0,1070.2838960477789,0.0,2278.214938299934,0.0,2338.8956619480405,0.0,2438.6841871302913,0.0
2024-04-11,764.8314825160527,0.0,728.7233921440676,0.0,751.0399310786775,0.0,1076.136875111128,0.0,1037.1425062508015,0.0,1079.6829221072458,0.0,2310.1371675123905,0.0,2350.463900966413,0.0,2460.100239740527,0.0
