etiqueta,ic,t,Q,t_sin_korea,Q_sin_korea,homogenea
A6 momentum / ATR%,0.03608764331061097,2.9136191255318553,0.7191092527126388,2.801732688592489,0.6969820088547157,True
A1 RS multi-ventana,0.034580592844097376,2.1323854775230804,0.2121592533855937,2.0348403673781728,0.20440067470633067,True
B10 valoración EV,0.025359613595846004,2.0553659305898515,3.5214269987922178,1.997362752250777,2.922253211990146,True
A3 RS vs sector,0.02336000707531297,1.6383620956954175,5.795239912027306,1.7325489612414395,5.3645259466221935,True
A8 reacción a resultados,0.015503317531639199,1.6008507783248402,10.295346141381511,1.5273071518440193,9.869330655644372,False
A5 consistencia (FITP),0.02821367527938365,1.4724072474348964,5.904686517331316,1.1799500261664553,4.031886999001523,True
B6 expansión de márgenes,0.017776286290314497,1.3281757802110488,2.049652500141217,1.5626833208098145,1.0758092541949262,True
B2 tendencia y duración,0.010997732456916362,0.5943350127573022,1.3858479449577676,0.7242430337101992,0.8965866727113556,True
B3 sorpresa 4T,0.0029546061712027267,0.37198275813203213,1.616832008837659,0.37198275813203213,1.616832008837659,True
B9 net debt/EBITDA,0.0028565322543574047,0.23274985973121237,1.5820838387554796,0.2978803160066815,1.4495841700785352,True
B1 crecimiento revenue Y/Y,0.003016927382260546,0.20979081022364382,3.5872574194299833,-0.03531143160006532,2.622545649200307,True
B7 dilución/SBC,0.00021838324379275072,0.01730347379097753,0.07051040789689826,0.01730347379097753,0.07051040789689826,True
A9 precio vs MM20/50,-0.009056774050549967,-0.6671744374335004,1.6994817601221597,-0.5831268857921657,1.6836554341772751,True
A7 acumulación (OBV),-0.009443076582890715,-0.8562633799906192,3.2415980321074422,-0.7387983361098366,2.8579350450657106,True
B4 calidad de caja,-0.008615250612694506,-0.8865172632391067,0.7998000812961803,-0.6318312589879324,0.11629755523772703,True
A2 distancia a máximos,-0.01578863755318923,-1.1819691891358757,3.359006593146456,-0.5220213096459874,2.687713434598928,True
B5 ROIC,-0.016385087240680433,-1.8277198926549023,11.612050099066654,-2.084940553533696,6.642190833174647,False
A4 momentum del sector,-0.03270818359213211,-2.27161079524503,11.568497066828748,-2.3752483538722085,10.890357287198665,False
