,top 3,SPY top 3,top 5,SPY top 5,top 10,SPY top 10
2024-01-11,300.0,300.0,500.0,500.0,1000.0,1000.0
2024-01-12,299.0533874647458,300.02991412238606,499.53547625420623,500.0498568706434,998.8485731909444,1000.0997137412868
2024-01-16,400.1510774060576,399.90996827447316,700.9428242121309,699.8499471241217,1201.3588406981307,1199.6998942482435
2024-01-17,402.6301803468918,400.1333057044522,707.712878133276,700.2407918165811,1209.2207086480205,1200.3698897781967
2024-01-18,406.04611128383885,403.43255689283166,713.5753110753581,706.014543292943,1220.8339063462909,1210.2673957565437
2024-01-19,410.266763037186,408.7107674383134,721.1674603781823,715.2515107711583,1229.0446824044802,1226.1016312985005
2024-01-22,607.6736632871626,609.0803635613876,824.1176978443225,815.8983109204689,1635.8304548717144,1627.2103919319995
2024-01-23,604.8143934314782,611.5354297598374,806.1966308931368,819.1870138311995,1605.0263381416312,1633.7693116903706
2024-01-24,604.1141821542187,613.4628415641829,807.2098558879072,821.7688932180486,1603.9120367399812,1638.9185575127526
2024-01-25,606.3649304759269,615.4465849985199,809.4072293931814,824.4262320754553,1609.155300903378,1644.218298112508
2024-01-26,608.7640405547838,616.6310757496034,813.2584744245263,826.0129258205288,1611.1488144806895,1647.3827666697284
2024-01-29,713.6044098367175,721.7166945658005,1117.977991572092,1132.8254058319656,2116.5303583424193,2160.969433195527
2024-01-30,716.487168452742,721.7606203501103,1125.1058082556106,1132.8943528922343,2108.8212032258293,2161.1009561018664
2024-01-31,706.5377297618506,709.3987959511813,1105.946216052768,1113.4909098972444,2103.043868035706,2124.087090597913
2024-02-01,714.7117213339293,721.3098445965175,1124.6810970550027,1132.1868034758943,2132.8930539652247,2159.7512400261894
2024-02-02,721.4420341683002,724.1625427788852,1128.845024666768,1136.6644731771623,2134.9045815528293,2168.2928098979205
2024-02-05,813.9347277161273,827.8578029534118,1421.7155819332006,1442.4646502250016,2434.919752680837,2479.357185081401
2024-02-06,817.9848065765003,833.2147147510652,1428.0181935605715,1451.798567082367,2439.483670829155,2495.400638085016
2024-02-07,824.9420707736282,838.9637712771008,1450.5073898381295,1461.8157593844348,2466.5474565947916,2512.6185281072085
2024-02-08,818.6132438305151,837.8897709268175,1445.496481721535,1459.9444144093848,2463.2783967431733,2509.401996867477
2024-02-09,821.0254550834866,842.6142585094005,1454.3654739378342,1468.1763913310137,2485.2881877069362,2523.5513981196195
2024-02-12,1017.2943195908988,1040.6104639359241,1746.6377913707927,1764.6849670450542,2873.00191360354,2917.5502195893796
2024-02-13,1014.4609410335444,1028.749472605633,1734.531542427117,1744.5708957184513,2848.631465504935,2884.295664633867
2024-02-14,1025.851830649739,1044.2375574320693,1762.6255284845904,1770.835854037392,2904.6897744012285,2927.7194690759966
2024-02-15,1026.3295933225002,1049.1680783070146,1768.943714268616,1779.1971154020036,2926.904217887065,2941.543126207964
2024-02-16,1011.7794083757708,1039.8988287514521,1741.762033529885,1763.4781639659188,2891.8987141755792,2915.5550144086906
2024-02-20,1311.2259176987034,1334.0288130902634,2140.865155794577,2153.523691324505,3575.5929077402348,3599.0973041752973
2024-02-21,1306.891079622006,1330.5756024544482,2092.74440070497,2147.949170862586,3508.6573226518826,3589.780832920586
2024-02-22,1334.7861310078906,1357.2021340163988,2135.7860860012374,2190.932400290465,3611.7222452939477,3661.6169709588357
2024-02-23,1328.1269785356249,1357.4768098189484,2137.100552965048,2191.3758096399633,3616.3879776761373,3662.35802312411
2024-02-26,1633.071540607404,1653.2078311420928,2451.5130587355156,2484.4843942311227,4145.337732521077,4150.840678448577
2024-02-27,1636.3734435571318,1651.565757332669,2459.4587050163836,2482.0166423388087,4152.618523698611,4146.717792845946
2024-02-28,1642.352081674275,1650.3137213938314,2467.194733236722,2480.1350496603436,4174.457844604436,4143.574206414823
2024-02-29,1652.5777789841773,1657.1624237786082,2484.761779787762,2490.427460496528,4213.042085526423,4160.769789400708
2024-03-01,1678.465369008494,1677.959900223752,2514.4621529064625,2521.682457414642,4275.360884210039,4212.987671273395
2024-03-04,1881.0860898537076,1870.3288815004573,2711.526931637527,2710.21436092189,4594.860354324419,4493.827864298144
2024-03-05,1865.6126204759998,1849.508383301861,2682.3551262055403,2680.0442588732517,4541.029063866758,4443.802579505258
2024-03-06,1884.4340548895304,1858.7388282817942,2707.3038608296088,2693.419705720998,4580.650874585425,4465.980513696926
2024-03-07,1897.9042791317224,1869.6902675939566,2733.832734845945,2709.28897255966,4610.54382735766,4492.2934705367325
2024-03-08,1872.578211021091,1849.8792939222944,2699.57017223392,2680.5817297427125,4551.980863703684,4444.693764204245
