symbol,entrada,invertido,valor,ret_%,estado
LOGI,2024-01-22,100.0,88.55862017186239,-11.44137982813761,stop duro -8% 2024-01-23
QLYS,2024-01-11,100.0,89.21548989294809,-10.784510107051915,stop duro -8% 2024-02-05
PANW,2024-02-20,100.0,71.30907079055193,-28.69092920944807,stop duro -8% 2024-02-21
DECK,2024-01-16,100.0,113.13372040396287,13.13372040396288,ATR×3 2024-04-10
GFF,2024-01-29,100.0,113.19020785416,13.190207854159986,ATR×3 2024-04-15
MOH,2024-02-12,100.0,93.18806503105851,-6.811934968941491,stop duro -8% 2024-04-15
BCC,2024-01-11,100.0,108.27250334687922,8.272503346879212,ATR×3 2024-04-17
AYI,2024-01-29,100.0,105.48946010333697,5.489460103336974,ATR×3 2024-04-17
MANH,2024-02-05,100.0,93.05259052357243,-6.947409476427568,stop duro -8% 2024-04-17
TIMB,2024-02-12,100.0,92.00496412964783,-7.995035870352174,stop duro -8% 2024-04-16
FERG,2024-02-20,100.0,106.56217231720616,6.562172317206172,ATR×3 2024-04-17
NVDA,2024-02-26,100.0,97.93989405365387,-2.0601059463461247,ATR×3 2024-04-19
EME,2024-03-04,100.0,103.46752375751073,3.4675237575107376,ATR×3 2024-04-19
META,2024-02-05,100.0,96.8979093911698,-3.102090608830199,ATR×3 2024-04-25
CAT,2024-04-15,100.0,91.16254220193488,-8.837457798065119,stop duro -8% 2024-05-01
RYAAY,2024-01-29,100.0,96.64873931238924,-3.3512606876107576,ATR×3 2024-05-07
CAH,2024-01-11,100.0,92.17285742191447,-7.8271425780855335,stop duro -8% 2024-05-21
STRL,2024-05-13,100.0,91.00997139563549,-8.990028604364507,stop duro -8% 2024-06-03
FIX,2024-02-26,100.0,105.060685385729,5.060685385728991,ATR×3 2024-06-04
SPXC,2024-04-08,100.0,109.46266100438342,9.46266100438342,ATR×3 2024-06-04
KGC,2024-05-20,100.0,90.87052105855307,-9.129478941446934,stop duro -8% 2024-06-07
INSW,2024-05-20,100.0,92.46811474855693,-7.531885251443072,stop duro -8% 2024-06-13
NRG,2024-01-16,100.0,158.29472455301462,58.29472455301461,ATR×3 2024-06-28
VRT,2024-02-26,100.0,132.81878772943097,32.818787729430966,ATR×3 2024-06-27
VST,2024-03-04,100.0,153.54413072945036,53.544130729450366,ATR×3 2024-06-26
EME,2024-04-22,100.0,106.50932601817554,6.509326018175532,ATR×3 2024-07-02
ABBNY,2024-04-22,100.0,108.9729588595231,8.972958859523095,ATR×3 2024-07-18
ANF,2024-06-03,100.0,88.28036524756257,-11.719634752437425,stop duro -8% 2024-07-17
INSW,2024-06-24,100.0,89.59743960425129,-10.402560395748706,stop duro -8% 2024-07-18
SPXC,2024-06-24,100.0,97.22897395470919,-2.771026045290814,ATR×3 2024-07-18
