puesto,fwd_21,fwd_63,fwd_126,fwd_hoy,n
1,5.704440411572133,17.090672861843363,25.18723939764857,82.55124299441172,135
2,1.786581323531385,10.445228743211352,24.059379988761695,75.05241229462465,135
3,5.914271381363288,12.503382640880192,18.364448020283948,47.3117716610014,135
4,3.2252711951186925,11.565393113981708,23.886280640220388,56.15834620293248,135
5,4.195645368227114,11.446002105643613,22.60012540559707,54.16093737560191,135
6,3.45311135271156,13.646728742117405,25.610064158238487,71.18447808558054,135
7,2.9534788430238486,10.151002491913752,27.65880906694816,65.50677854361042,135
8,3.2977408583718804,5.596625183175117,12.661450408847971,42.67415372697545,135
9,3.2575582995745034,11.88695504880428,21.26408778510255,55.04326577937293,135
10,3.0925206144317627,12.478924044303717,12.391810917166836,44.515224362152125,135
11,3.7635122026160164,10.48736596598384,18.27717517835579,49.65006492487471,135
12,4.714781171042444,15.9314474009807,21.708094189164413,49.01124580853036,135
13,4.654753357193748,12.858301024769553,17.599640035277538,47.840319744311884,135
14,3.841542777723475,10.043819967559152,22.137765918799513,52.20183396833065,135
15,5.657283828838104,12.326268092594683,15.164930609045257,47.069587481342936,135
16,2.39973344916255,7.141815910488708,12.048574875533852,32.55380054800198,135
17,2.447763437311162,9.495860167328798,14.236784549208044,36.59553337211901,135
18,4.69106808257377,11.085475186313221,20.134132016627085,58.868824579003864,135
19,3.260041800452119,9.68201946655549,20.426725071480732,43.95899017973918,135
20,3.4034792394499935,6.90699661188853,8.156041313221667,30.57726164318518,135
